"source","Item (EN)","Category/Department (EN)","Description (EN)","Variant Name"
"Abu Auf - groceries","Steamed Cashew","Nuts","","250g"
"Abu Auf - groceries","Cashews with Smoked Flavor","Nuts","","1 kg"
"Abu Auf - groceries","Clover Honey Squeeze - 400 g New","Honey","",""
"Abu Auf - groceries","Munchies Pepper Flavor","Crackers","","250 g"
"Abu Auf - groceries","Prunes with Pits Jampo","Dried Fruits","","1 kg"
"Abu Auf - groceries","Cashews with Smoked Flavor","Nuts","","500 g"
"Abu Auf - groceries","Dried Mango","Dried Fruits","","100 g"
"Abu Auf - groceries","Rio Sea Salt Pretzel - 300 g","Crackers","",""
"Abu Auf - groceries","Roasted Salted Cashews Jumbo","Nuts","","100 g"
"Abu Auf - groceries","Medium Roasted Plain Turkish Coffee - 250 g","Coffee","",""
"Abu Auf - groceries","Pretzels Sea Salt 30 gm","Crackers","",""
"Abu Auf - groceries","Salted Peeled Pistachios","Nuts","","100 g"
"Abu Auf - groceries","Cashews with Barbecue Flavor","Nuts","","250 g"
"Abu Auf - groceries","Crispy Granola Cranberries & Raisins - 350g","Healthy Food","",""
"Abu Auf - groceries","Ketchup Peanuts","Crackers","","100 g"
"Abu Auf - groceries","Light Roasted Plain Brazilian Coffee Pack - 50 gr","Coffee","",""
"Abu Auf - groceries","Dates with Almonds - 200 g","Dates","",""
"Abu Auf - groceries","Abu Auf Macadamia with Cheese Flavor","Nuts","","100 g"
"Abu Auf - groceries","Egyptian Rasins","Dried Fruits","","500 g"
"Abu Auf - groceries","Honey with Hazelnuts - 250 g","Honey","",""
"Abu Auf - groceries","M&M Chocolate","Sweets","","500 g"
"Abu Auf - groceries","Chia Seeds - 400 g","Healthy Food","",""
"Abu Auf - groceries","Onion Powder - 90 g","Kitchen","",""
"Abu Auf - groceries","Wafer Rolls Milk & Coconut Cream 24 Pieces","Sweets","","default"
"Abu Auf - groceries","Wafer Rolls Chocolate 24 Pieces","Sweets","",""
"Abu Auf - groceries","Golden Berries","Dried Fruits","","500 g"
"Abu Auf - groceries","Roasted Salted Pecans","Nuts","","1 kg"
"Abu Auf - groceries","Wheat Germ - 350 g","Flour","",""
"Abu Auf - groceries","Chilli Peanuts","Crackers","","1 kg"
"Abu Auf - groceries","Medium Roasted Blended Brazilian Coffee","Coffee","","200 g"
"Abu Auf - groceries","Oat Flour - 400 g","Flour","",""
"Abu Auf - groceries","Coconut Flour - 500 g","Healthy Food","",""
"Abu Auf - groceries","Dried Papaya","Dried Fruits","","1 kg"
"Abu Auf - groceries","Choco Pillow Chocolate - 100 gr","Crackers","","default"
"Abu Auf - groceries","American Pistachios","Nuts","","1 kg"
"Abu Auf - groceries","Roasted Salted Almonds - 275 gm ""Offer""","Offers","","default"
"Abu Auf - groceries","Maamoul Dates Box","Sweets","Packed : 12 Packet",""
"Abu Auf - groceries","Crispy Granola Original - 350 g","Healthy Food","",""
"Abu Auf - groceries","Instant Coffee Gold Box - 24 Packet","Coffee","",""
"Abu Auf - groceries","Nigella Sativa Honey - 250 g","Honey","",""
"Abu Auf - groceries","Shelled Walnuts","Nuts","","1 kg"
"Abu Auf - groceries","Tostino Snacks ""Cheese""","Crackers","","default"
"Abu Auf - groceries","Sliced Dried Mango without Sugar","Dried Fruits","","250 g"
"Abu Auf - groceries","Citrus Honey - 450 g","Honey","",""
"Abu Auf - groceries","Almonds with Smoked Flavor","Nuts","","500 g"
"Abu Auf - groceries","Biscuit with Cheese","Crackers","","100 g"
"Abu Auf - groceries","Salted Peanuts","Crackers","","100 g"
"Abu Auf - groceries","Pretzels Mustard & Honey 30 gm","Crackers","",""
"Abu Auf - groceries","M&M Chocolate","Sweets","","250 g"
"Abu Auf - groceries","Bag Pretzel with Cheese Flavor - 30 gr - 12 Bag","Offers","","default"
"Aneya-Home and garden","Ramadan Tales","Bundles","3 pieces 
A curated trio of handcrafted pieces that blend tradition with elegance:
• Wooden Garland: A beaded garland with natural accent for a warm, rustic touch.
• Sultan’s Dome: A glass domelette with a solid 2 levels wooden base, perfect for serving or display.
• Sahn Tray: A statement tray with architectural details, ideal for presenting drinks or treats. Can be used on both sides.
 
Timeless pieces designed to elevate your space with charm and heritage.",""
"Aneya-Home and garden","YANG Platter","PLATTERS","Size: 40*22 cm100% Natural",""
"Aneya-Home and garden","Tissue Box","All Products","A blend of functionality and sophistication. Crafted with care, this box adds a touch of natural elegance to any room while conveniently holding your tissues. Elevate your home décor with this stylish and practical accessory, perfect for any space.",""
"Aneya-Home and garden","STANDING GEM PLATTER","SUMMER TALES","Designed for those who love simple shapes with an elegant twist in the handle. ",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.","","",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","size: 55 cm","","",""
"Aneya-Home and garden","Majestic Garland","Ramadan Essentials","Elevate your décor instantly with the natural elegance of the wooden garland.",""
"Aneya-Home and garden","Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","20 cm","",""
"Aneya-Home and garden","Squared Plate","PLATES","A simple squared plate that is carved from natural wood",""
"Aneya-Home and garden","Squared Plate","PLATES","A simple squared plate that is carved from natural wood",""
"Aneya-Home and garden","Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","25 cm","",""
"Aneya-Home and garden","Majestic Minaret Set","Ramadan Essentials","Experience the 'Majestic Minaret' set, crafted from natural beech wood and brass. Illuminate your home with divine beauty during Ramadan. Elevate your celebrations with their intricate design
Set of 3 Pieces
Sizes: 40 cm, 30 cm and 25 cm",""
"Aneya-Home and garden","The CURLS Spoons","Cutlery","Large curled spoon: 35 cmbest recommended for serving and stirring.
Mini curled spoon: 22 cmbest recommended for honey, soups, or your personal preference.
 
Material: asersus wood. Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature. How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely. -Don't soak in water. -Not to be used in microwave or dishwasher. -Polish it with olive oil using a cotton cloth from time to time to keep its shine.","Mini (22 cm)"
"Aneya-Home and garden","OVAL GEM PLATTER","SUMMER TALES","Designed for those who love simple shapes with an elegant twist in the handle. ",""
"Aneya-Home and garden","Material: asersus wood. Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature. How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely. -Don't soak in water. -Not to be used in microwave or dishwasher. -Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Circular Plate","PLATES","Available in 4 sizes, these plates uses are so versatile. 
Alongside serving your favorite dishes, you can use them in your décor setup to have an elegant and warm corner.
-Made from Natural Asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.","20 cm"
"Aneya-Home and garden","Bowls","Bowls","Browse our selection of artisan wooden bowls. These natural bowls are made of wood and handcrafted with care and love.
Available in 5 different sizes. 
-Made from Natural Asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.
-Each piece may vary in color shade and wood texture due to their handmade and natural nature.
Note: bowls are a totally handmade product so it’s typically normal to find slight differences in size and turning angle between one to the other","14*7"
"Aneya-Home and garden","Diameter: 35 cm","","",""
"Aneya-Home and garden","Tulun Flower Set","Ramadan Essentials","An exquisite Mirror Duo: crafted from natural wood and adorned with brass arches and delicate brass floral accents. Each mirror, measuring 15*10 cm, exudes timeless elegance and sophistication. Elevate your space with this stunning combination of natural beauty and metallic allure.",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Blossom Tray","TRAYS","Inspired by royal pieces our floret tray sets a table worthy of a still-life. Balancing modern simplicity with stately drama",""
"Aneya-Home and garden","The SWIRLED Vase","Home Accessories","This wooden vase is designed to add a touch of nature and elegance to any corner in your home or even your table! perfectly swirled, available in 2 sizes
Small: 10*5 cm
Large: 20*8 cm
-Each piece may vary in color shade and wood texture due to their handmade and natural nature.","Large"
"Aneya-Home and garden","Salt & Pepper Holder","Best Sellers","Two levels rotating holder",""
"Aneya-Home and garden","Luna Cake Stand","SUMMER TALES","Elegant hand carved cake stand for those who love classic pieces.",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","The Guest’S Favorite","Bundles","A seamless blend of form and function, The Ogee Harmony bundle features two handcrafted wooden trays in varying sizes, each designed with an elegant ogee silhouette. Perfect for serving appetizers, desserts, or an assortment of treats, these trays bring a sense of refinement to any table. Their rich wooden texture and flowing edges create a warm and inviting display, making them a timeless addition to your hosting essentials. Whether you’re setting up for an intimate gathering or a lavish spread, this set ensures your presentation is always effortless and sophisticated.",""
"Aneya-Home and garden","Bonbon Tray","TRAYS","Elegant, spacious tray with two handles to provide support when handling and give it a unique shape
Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","50*25 cm"
"Aneya-Home and garden","1 piece ","","",""
"Aneya-Home and garden","Made from natural asersus wood","","",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","30*15 cm","",""
"Aneya-Home and garden","size: 30*20 cm","","",""
"Aneya-Home and garden","One piece","","",""
"Aneya-Home and garden","size: 75*18 cm","","",""
"Aneya-Home and garden","Coaster Set- Irregular Circles","Home Accessories","Set of 6 coasters",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Mini-Plateau Tray","TRAYS","Size: 45*15 cm",""
"Aneya-Home and garden","Wheeling Plate","TRAYS","For those who love basics with a twist, wheeling plate is your go-to plate. As it’s diameter is large and design is unique, you can use it also as a serving tray
size: 35 cm in diameter",""
"Aneya-Home and garden","Triple Wheeled Plate","Ramadan Essentials","Size 35*11 cm
 
One piece
 
these plates uses are so versatile. 
 
Size 35*11 cm 
Use it to serve your favorite snacks, as a saucer plate or even as a candle holder! From food to decor, the triple wheeled plate will be your favourite
-Made from Natural Asersus wood.
 
-Wash normally with soap and water.
 
-Make sure to dry them, don't leave them soaked in water.",""
"Aneya-Home and garden","Material: asersus wood.","","",""
"Aneya-Home and garden","Material: asersus wood. Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature. How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely. -Don't soak in water. -Not to be used in microwave or dishwasher. -Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Car Plate","PLATES","Divided plate for kids, can also be used for nuts or appetizers. 
 
1 piece 
 
Size: 30*25 cm",""
"Aneya-Home and garden","Daisy Bun","SUMMER TALES","The Daisy Bun Plate offers a perfect blend of style and functionality. Available in two different sizes.",""
"Aneya-Home and garden","Trio-Swirled Service","Ramadan Essentials","Size 35*15 cm
 One piece
 These plates uses are so versatile. 
Alongside serving your favorite dishes, you can use them in your décor setup to have an elegant and warm corner.
-Made from Natural Asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.",""
"Aneya-Home and garden","Roundle Plate","All Products","This plate has a simple and raw design, giving it a natural, earthy aesthetic. It has the appearance of a handcrafted, artisanal item that could be used for serving food, displaying decorative items, or as a piece of functional home decor.
Available in 2 sizes:
Large 28 cm
small:19 cm","Large"
"Aneya-Home and garden","Utensils Set- 4 Pieces","Cutlery","set of 4 pieces of different utensils 
spoon, strainer spoon, angled spatula, fork
can be used for serving or cooking",""
"Aneya-Home and garden","Bowls","Bowls","Browse our selection of artisan wooden bowls. These natural bowls are made of wood and handcrafted with care and love.
Available in 5 different sizes. 
-Made from Natural Asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.
-Each piece may vary in color shade and wood texture due to their handmade and natural nature.
Note: bowls are a totally handmade product so it’s typically normal to find slight differences in size and turning angle between one to the other","10*5"
"Aneya-Home and garden","size: 55 cm","","",""
"Aneya-Home and garden","AURORA PLATTER","SUMMER TALES","A beautiful random hand drawn line that perfectly turned into a huge platter. This one will a natural vibe to your table setup.",""
"Aneya-Home and garden","Circular Vase","Home Accessories","If you're into minimalistic home decor, this circular vase is all you're looking for!
With a very basic and simple design, our wooden circular vase shows off the beauty and elegance of simplicity and minimalism. 
use it as it is, add flowers or even incense sticks.
-Made from natural asersus wood.
-Each piece may vary in color shade or wood texture due to their handmade and natural nature.



-size: 11cm",""
"Aneya-Home and garden","Oblong Tray","TRAYS","Designed for those who love simple shapes with an elegant twist in the handle. ",""
"Aneya-Home and garden","Solis Cake Stand","SUMMER TALES","Elegant hand carved cake stand for those who love classic pieces.",""
"Aneya-Home and garden","COASTERS SET - SQUARED","Home Accessories","Set of 6 squared coasters",""
"Aneya-Home and garden","size: 35*11 cm ","","",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","size: 50*35 cm","","",""
"Aneya-Home and garden","size: 30*12 cm","","",""
"Aneya-Home and garden","Hexa-Nut Tray","Ramadan Essentials","Hexa nut tray is a set of six removable parts and one circular plate for convenient use. each part can be used separately for easier using. Can be used for nuts, appetizers, pickles and other uses.",""
"Aneya-Home and garden","PIZZA PEEL","SUMMER TALES","A large circular platter with a tapered edge can be used as a pizza peel or cheese platter.",""
"Aneya-Home and garden","Rectangular Tray","TRAYS","Simple and slim with a delicate lip and subtle wood grain that will perfectly present your food or even your home décor",""
"Aneya-Home and garden","Spices Spoons Set","All Products","Set of 5 mini spoons, suitable for spices, tea &amp; herbs.
-Made from Natural Asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.
-Each piece may vary in size, color shade and wood texture due to their handmade and natural nature.",""
"Aneya-Home and garden","PINEAPPLE PLATTER","SUMMER TALES","A Pineapple to add a fresh vibe to your table. ",""
"Aneya-Home and garden","Dara Tulun","Ramadan Essentials","Serve with style and ease using the Dara Tulun lazy Susan. Its rotating design and beautifully engraved pattern, inspired by the Ibn Tulun Mosque's faskiya (fountain), making it the perfect centerpiece for any occasion.
Size: 45 cm
N.B: dara tulun is sold separately as a single piece.",""
"Aneya-Home and garden","Rectangular Tray","TRAYS","Simple and slim with a delicate lip and subtle wood grain that will perfectly present your food or even your home décor",""
"Aneya-Home and garden","Fits one kitchen tissue roll or two toilet tissue rolls.","","",""
"Aneya-Home and garden","Tissue Holder","SUMMER TALES","The perfect addition to your kitchen.",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Daisy Bun","SUMMER TALES","The Daisy Bun Plate offers a perfect blend of style and functionality. Available in two different sizes.",""
"Aneya-Home and garden","Baguette Plate","SUMMER TALES","Richly grained asersus wood turns out in smooth, sculptural serving piece, naturally suited to everyday use.
Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","35*11 cm"
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Small Garland","All Products","",""
"Aneya-Home and garden","size: 40*22 cm","","",""
"Aneya-Home and garden","Material: asersus wood. Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature. How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely. -Don't soak in water. -Not to be used in microwave or dishwasher. -Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Al Mi'adhana 1001 Glass Minarets","Ramadan Essentials","Al-Midhana 1001 | Pyrex Glass Edition ✨A timeless reflection of Ramadan’s spirit, crafted in delicate Pyrex glass. Its tranquil teal hue—somewhere between blue and green—captures the essence of calm and light, reminiscent of the reflections of water under the Ramadan moon. Inspired by the elegance of minarets, each piece blends tradition with a modern touch—designed to bring beauty and warmth into your home. Available in three sizes to fit every space and story.
Each size has a different shape for the minaret designed to give you an elegant leveling and variation
 
Please note that this is a totally handmade product, so it's normal to have little variation in proportions and color between each piece.","Medium"
"Aneya-Home and garden","Little Bites Collection","Bundles","3 pieces
Make mealtime fun and engaging with the Little Bites Collection—a charming set of wooden plates designed especially for kids. Featuring adorable animal and vehicle shapes, these handcrafted plates turn every bite into an adventure. Perfect for serving balanced meals, snacks, or treats, their compartments help keep food neatly separated. Crafted from natural wood, they bring warmth to the table while ensuring a safe, and fun experience for your little ones. Whether it’s breakfast, lunch, or snack time, this collection makes every meal more fun!",""
"Aneya-Home and garden","Material: asersus wood.Each piece is unique in color shade and wood grain shape as they're sourced naturally.All pieces are subject to slight differences in sizes due to their natural and handmade nature.How to take care of wood pieces: -wash with water and soap only then make sure to dry it completely.-Don't soak in water.-Not to be used in microwave or dishwasher.-Polish it with olive oil using a cotton cloth from time to time to keep its shine.","","",""
"Aneya-Home and garden","Rectangular Plate","PLATES","Rectangular shaped plate with curved edges Size: 30*20 cm100% Natural",""
"Aneya-Home and garden","Large Oval Service Platter","Ramadan Essentials","Exquisite 65 cm centerpiece, great for gatherings made from natural wood. This is the perfect choice for those who want to make a statement.
Size: 65*25 cm
-Made from natural asersus wood.
-Wash normally with soap and water.
-Make sure to dry them, don't leave them soaked in water.
-Each piece may vary in color shade and wood texture due to their handmade and natural nature.",""
"Aneya-Home and garden","Sarai Serving Platter","Ramadan Essentials","Elevate your serving experience with the Sarai platter. Inspired by Cairo's historic gates, its beautiful design and practical functionality make it perfect for any occasion. The combination of sleek wood and hand-hammered brass handles adds a touch of sophistication. Available in two sizes 50 cm and 70 cm","small"
"drwells-pharmacies","Candalkan 16 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Bisocard 2.5 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Advochol 10 mg 28 Tablets","Medicine","",""
"drwells-pharmacies","Arth Free 20 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Avetrix Gel 100 gm","Medicine","",""
"drwells-pharmacies","Econopred Plus Drops","Eye Care","",""
"drwells-pharmacies","Emetrex 20 Tablets","Medicine","",""
"drwells-pharmacies","Cosamine Massage Cream 50 gm","Medicine","",""
"drwells-pharmacies","Brufen Syrup 150 ml","Medicine","",""
"drwells-pharmacies","Carfalone 50 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Bone Care 1 mcg 30 Tablets","Medicine","",""
"drwells-pharmacies","Concor 5 Plus 30 Tablets","Medicine","",""
"drwells-pharmacies","Blokium Diu 15 Tablets","Medicine","",""
"drwells-pharmacies","Candalkan Plus 16 / 12.50 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Deltarhino Nasal Spray","Medicine","",""
"drwells-pharmacies","Avivavasc 10 / 160 mg 28 Tablets","Medicine","",""
"drwells-pharmacies","Epifenac Drops","Eye Care","",""
"drwells-pharmacies","Dolo D Plus 20 Tablets","Medicine","",""
"drwells-pharmacies","Alzmenda 5 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Atorstat 40 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Cogintol 20 Tablets","Medicine","",""
"drwells-pharmacies","Alzmenda 10 mg Oral Drops","Medicine","",""
"drwells-pharmacies","Atarax 10 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Dispercam 30 gm Gel","Medicine","",""
"drwells-pharmacies","Dantrelax 25 mg 30 Capsules","Medicine","",""
"drwells-pharmacies","Citropanthen Cream","Medicine","",""
"drwells-pharmacies","Artixiban 2.5 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Estohalt 40 mg 14 Capsules","Medicine","",""
"drwells-pharmacies","Ezapril 10 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Congestal 20 Tablets","Medicine","",""
"drwells-pharmacies","Epicophylline Phenobarbitone Syrup","Medicine","",""
"drwells-pharmacies","Beclosone Forte 200 Metered","Medicine","",""
"drwells-pharmacies","Apidra Solostar 5 Pens","Medicine","",""
"drwells-pharmacies","Bronchopro Drops","Medicine","",""
"drwells-pharmacies","Dorofen 30 Capsules","Medicine","",""
"drwells-pharmacies","Amaryl 2 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Ateno 100 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Allear 5 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Ateno 50 mg 20 Tablets","Medicine","",""
"drwells-pharmacies","Diacerein 30 Capsules","Medicine","",""
"drwells-pharmacies","Esomium 40 mg 14 Capsules","Medicine","",""
"drwells-pharmacies","Allerban Syrup","Medicine","",""
"drwells-pharmacies","Articu-safe 30 Capsules","Medicine","",""
"drwells-pharmacies","Betnovate N Cream","Medicine","",""
"drwells-pharmacies","Cialong 20 mg 4 Tablets","Men'S Care","",""
"drwells-pharmacies","Congestal Syrup","Medicine","",""
"drwells-pharmacies","Cholerose Plus 10 / 20 mg 28 Tablets","Medicine","",""
"drwells-pharmacies","Amaryl 4 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Conventin 800 mg 30 Capsules","Medicine","",""
"drwells-pharmacies","Amipride 200 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Alzental Suspension","Medicine","",""
"drwells-pharmacies","Claritine 20 Tablets","Medicine","",""
"drwells-pharmacies","Dafrex 15 Tablets","Medicine","",""
"drwells-pharmacies","Cobal 500 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Eflotism Cream 15 gm","Medicine","",""
"drwells-pharmacies","Cetal Extra 20 Tablets","Medicine","",""
"drwells-pharmacies","Entresto 50 mg 28 Tablets","Medicine","",""
"drwells-pharmacies","Betnovate C Cream","Medicine","",""
"drwells-pharmacies","Entresto 100 mg 28 Tablets","Medicine","",""
"drwells-pharmacies","Clarikan Sr 500 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Agiolax 12 Sachets","Medicine","",""
"drwells-pharmacies","Estero - Map 20 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Brufen 600 mg 30 Tablets","Medicine","",""
"drwells-pharmacies","Digestin 20 Tablets","Medicine","",""
"drwells-pharmacies","Clindam 300 mg 16 Capsules","Medicine","",""
"drwells-pharmacies","Butaximark Cream 15 ml","Medicine","",""
"drwells-pharmacies","Atacand 4 mg 14 Tablets","Medicine","",""
"drwells-pharmacies","Benox Eye Drops","Eye Care","",""
"drwells-pharmacies","Antidiazox 500 mg 12 Tablets","Medicine","",""
